"ï»¿""Local Authorities""",Name,5 Year Olds - Average Number of Filled Teeth(FY 99/00),Numerator,5 Year Olds - Average Number of Filled Teeth(FY 01/02),Numerator,5 Year Olds - Average Number of Filled Teeth(FY 03/04),Numerator,5 Year Olds - Average Number of Filled Teeth(FY 05/06),Numerator,5 Year Olds - Average Number of Missing Teeth(FY 99/00),Numerator,5 Year Olds - Average Number of Missing Teeth(FY 01/02),Numerator,5 Year Olds - Average Number of Missing Teeth(FY 03/04),Numerator,5 Year Olds - Average Number of Missing Teeth(FY 05/06),Numerator,5 Year Olds - Average Number of Decayed Teeth(FY 99/00),Numerator,5 Year Olds - Average Number of Decayed Teeth(FY 01/02),Numerator,5 Year Olds - Average Number of Decayed Teeth(FY 03/04),Numerator,5 Year Olds - Average Number of Decayed Teeth(FY 05/06),Numerator,5 Year Olds - Average Number of Decayed Teeth of those with Decayed Teeth(FY 99/00),Numerator,5 Year Olds - Average Number of Decayed Teeth of those with Decayed Teeth(FY 01/02),Numerator,5 Year Olds - Average Number of Decayed Teeth of those with Decayed Teeth(FY 03/04),Numerator,5 Year Olds - Average Number of Decayed Teeth of those with Decayed Teeth(FY 05/06),Numerator,5 Year Olds - Percentage Children with Decayed Teeth(FY 99/00),Numerator,5 Year Olds - Percentage Children with Decayed Teeth(FY 01/02),Numerator,5 Year Olds - Percentage Children with Decayed Teeth(FY 03/04),Numerator,5 Year Olds - Percentage Children with Decayed Teeth(FY 05/06),Numerator,5 Year Olds - Care Index(FY 99/00),Numerator,5 Year Olds - Care Index(FY 01/02),Numerator,5 Year Olds - Care Index(FY 03/04),Numerator,5 Year Olds - Care Index(FY 05/06),Numerator,5 Year Olds - Average Number of Carious Teeth (dmft)(FY 99/00),Numerator,5 Year Olds - Average Number of Carious Teeth (dmft)(FY 01/02),Numerator,5 Year Olds - Average Number of Carious Teeth (dmft)(FY 03/04),Numerator,5 Year Olds - Average Number of Carious Teeth (dmft)(FY 05/06),Numerator,5 Year Olds - Percentage Children with Carious Teeth (dmft)(FY 99/00),Numerator,5 Year Olds - Percentage Children with Carious Teeth (dmft)(FY 01/02),Numerator,5 Year Olds - Percentage Children with Carious Teeth (dmft)(FY 03/04),Numerator,5 Year Olds - Percentage Children with Carious Teeth (dmft)(FY 05/06),Numerator
00NX,Swansea,0.3,864,0.4,883,0.3,905,0.2,865,0.4,864,0.4,883,0.5,905,0.4,865,1.2,864,1.6,883,1.8,905,2,865,3.2,319,3.5,406,3.5,467,3.9,437,36.9,864,45.9,883,51.6,905,50.5,865,16.8,864,15.9,883,10,905,9.4,865,1.8,864,2.3,883,2.5,905,2.6,865,45.5,864,53.4,883,55.1,905,55.1,865
00NZ,Neath Port Talbot,0.3,601,0.4,621,0.3,675,0.2,542,0.4,601,0.3,621,0.5,675,0.5,542,1.5,601,1.5,621,1.9,675,2.3,542,3.1,281,3.4,283,3.5,359,3.7,330,46.7,601,45.5,621,53.2,675,60.9,542,14.2,601,16.8,621,10.3,675,7.5,542,2.1,601,2.2,621,2.6,675,3,542,53.1,601,52.3,621,58.1,675,64.5,542
00PB,Bridgend,0.4,396,0.2,395,0.2,369,0.2,348,0.5,396,0.5,395,0.3,369,0.4,348,1.2,396,1.6,395,1.5,369,1.3,348,3,158,3.3,196,3.3,165,3.3,133,40,396,49.6,395,44.7,369,38.2,348,18.4,396,9.5,395,8.5,369,11.5,348,2.1,396,2.3,395,2,369,1.8,348,49,396,54,395,48.5,369,42.7,348
00PD,The Vale of Glamorgan,0.3,364,0.3,468,0.3,430,0.3,437,0.4,364,0.5,468,0.4,430,0.5,437,0.8,364,0.9,468,1.1,430,1.4,437,2.5,115,2.6,170,3,166,3.6,175,31.7,364,36.3,468,38.6,430,40,437,22,364,18.8,468,15.7,430,14.4,437,1.5,364,1.8,468,1.8,430,2.3,437,41.8,364,48.2,468,43.5,430,47.9,437
00PF,Rhondda Cynon Taff,0.3,676,0.4,763,0.4,653,0.3,618,0.5,676,0.7,763,0.7,653,0.6,618,1.2,676,1.7,763,1.9,653,1.7,618,2.9,278,3.2,409,3.4,370,3.5,305,41.1,676,53.6,763,56.7,653,49.3,618,14,676,12.9,763,14.1,653,10.9,618,2,676,2.8,763,3.1,653,2.6,618,49.1,676,60.8,763,64.5,653,57.3,618
00PH,Merthyr Tydfil,0.5,161,0.3,151,0.5,151,0.6,134,0.9,161,1.2,151,1,151,1,134,1.5,161,1.9,151,2.2,151,2.3,134,2.9,81,3.2,88,3.5,97,3.5,90,50.3,161,58.1,151,64.2,151,66.9,134,18,161,9.6,151,14.5,151,14.8,134,2.8,161,3.4,151,3.7,151,3.9,134,62.8,161,68.2,151,71.5,151,76.1,134
00PK,Caerphilly,0.4,1852,0.3,487,0.5,488,0.2,476,0.6,1852,0.5,487,0.6,488,0.5,476,2.1,1852,2.1,487,2.1,488,2,476,3.6,1053,3.7,278,3.4,306,3.6,264,56.9,1852,57.1,487,62.7,488,55.4,476,12.6,1852,11.4,487,16.3,488,9,476,3,1852,2.9,487,3.2,488,2.7,476,61.9,1852,61.2,487,68,488,60.6,476
00PL,Blaenau Gwent,0.3,831,0.4,268,0.4,240,0.3,277,0.6,831,0.5,268,0.9,240,0.7,277,2.7,831,2.4,268,2.2,240,2.9,277,4.1,545,3.5,184,3.5,147,4.4,185,65.6,831,68.5,268,61.3,240,66.7,277,8.3,831,12.7,268,12,240,8.2,277,3.6,831,3.3,268,3.5,240,4,277,69.6,831,72.4,268,70.4,240,70.2,277
00PM,Torfaen,0.3,1045,0.4,258,0.3,269,0.2,306,0.4,1045,0.3,258,0.4,269,0.6,306,1.9,1045,2.1,258,1.9,269,2.7,306,3.6,557,3.6,151,3.4,149,4.1,203,53.3,1045,58.5,258,55.4,269,66.2,306,12.4,1045,13.1,258,11.3,269,5.1,306,2.6,1045,2.7,258,2.6,269,3.4,306,57.6,1045,63.2,258,58.4,269,68.8,306
00PP,Monmouthshire,0.3,792,0.2,421,0.2,534,0.3,436,0.2,792,0.2,421,0.3,534,0.2,436,1.5,792,1.3,421,1.3,534,1.4,436,3.5,351,3.1,172,3.4,207,3.4,177,44.3,792,40.9,421,38.8,534,40.6,436,14.8,792,12.7,421,9.9,534,13.8,436,2,792,1.7,421,1.8,534,1.9,436,46.6,792,45.7,421,44.9,534,43.7,436
00PR,Newport,0.4,1558,0.5,230,0.3,378,0.3,371,0.3,1558,0.3,230,0.3,378,0.3,371,2,1558,2,230,2,378,1.7,371,3.6,861,3.6,128,3.7,201,3.3,186,55.3,1558,55.5,230,53.2,378,50.3,371,13.6,1558,17,230,11.1,378,12.4,371,2.6,1558,2.8,230,2.6,378,2.2,371,58.9,1558,62,230,58.5,378,55.1,371
00PT,Cardiff,0.3,1326,0.3,1515,0.4,1363,0.3,1291,0.3,1326,0.3,1515,0.4,1363,0.3,1291,0.9,1326,1.2,1515,1.4,1363,1.4,1291,2.8,432,3,603,3.2,613,3.5,540,32.6,1326,39.8,1515,45,1363,41.9,1291,21.4,1326,17.6,1515,16.3,1363,15,1291,1.4,1326,1.8,1515,2.2,1363,2.1,1291,40.5,1326,46.1,1515,52,1363,47.5,1291
Wales,Wales,0.3,15548,0.3,11207,0.3,11226,0.3,10660,0.4,15548,0.4,11207,0.4,11226,0.4,10660,1.5,15548,1.6,11207,1.7,11226,1.7,10660,3.3,7012,3.3,5267,3.5,5514,3.6,5082,45.1,15548,47,11207,49.1,11226,47.7,10660,14,15548,13.8,11207,12.1,11226,10.7,10660,2.2,15548,2.3,11207,2.4,11226,2.4,10660,51.6,15548,52.9,11207,54.4,11226,52.8,10660
